,ID,LATNUM,LONGNUM
2496,CD2013_41,"0,170512","29,364071"
2499,CD2013_412,"-4,334399","15,316635"
2501,CD2013_414,"-7,843511","26,678371"
2507,CD2013_420,"-6,718536","26,940184"
2508,CD2013_421,"-5,825556","12,899976"
2509,CD2013_422,"-6,112508","23,608237"
2513,CD2013_427,"-6,110575","23,582889"
2516,CD2013_43,"-6,981143","17,389399"
2517,CD2013_431,"2,164259","30,920825"
2518,CD2013_432,"-4,362193","15,283002"
2520,CD2013_436,"-5,150555","13,462872"
2521,CD2013_437,"-4,418857","15,381296"
2526,CD2013_445,"-5,544237","14,659962"
2534,CD2013_455,"-3,183793","28,381696"
2538,CD2013_459,"-5,830457","13,462259"
2539,CD2013_46,"-9,444266","22,835696"
2541,CD2013_463,"-4,087511","15,527308"
2544,CD2013_466,"1,461226","18,088536"
2553,CD2013_475,"-5,135912","22,165826"
2554,CD2013_476,"-2,947000","25,901652"
2559,CD2013_480,"-4,413457","15,365728"
2561,CD2013_483,"-0,006724","18,222535"
2562,CD2013_485,"-4,396414","17,384939"
2565,CD2013_488,"2,219373","22,750732"
2568,CD2013_490,"-4,392906","15,394874"
2570,CD2013_494,"-2,867428","16,196954"
2571,CD2013_496,"-8,024947","23,952161"
2572,CD2013_497,"-6,412644","20,758848"
2573,CD2013_498,"-10,689725","25,449004"
2574,CD2013_50,"-4,401587","15,338158"
2577,CD2013_502,"-7,297629","27,365167"
2578,CD2013_503,"-6,239233","17,496778"
2579,CD2013_506,"-5,458829","13,719451"
2581,CD2013_509,"-6,402605","20,800999"
2582,CD2013_51,"-1,635781","26,409259"
2583,CD2013_512,"-8,513759","26,317004"
2589,CD2013_52,"-3,713009","16,745167"
2590,CD2013_520,"-6,455369","25,029155"
2592,CD2013_523,"-8,225004","22,370395"
2594,CD2013_525,"-4,390432","15,330548"
2601,CD2013_532,"-5,240589","25,725235"
2611,CD2013_60,"0,132960","29,290535"
2612,CD2013_62,"-6,535452","21,041913"
2613,CD2013_63,"-4,400204","17,615276"
2615,CD2013_65,"-4,326976","15,358809"
2617,CD2013_7,"-4,338141","15,284108"
2619,CD2013_72,"-1,635467","19,938920"
2626,CD2013_84,"2,274913","30,728031"
2627,CD2013_86,"-5,405974","14,835362"
2628,CD2013_88,"0,007725","29,147468"
2629,CD2013_89,"-10,747077","24,633126"
2630,CD2013_90,"-10,000968","25,845801"
2631,CD2013_92,"-0,094932","29,036395"
2634,CD2013_95,"-6,679401","17,684525"
2636,CD2013_98,"-7,055197","21,539106"
2802,NG2013_109,"8,103565","7,670108"
2814,NG2013_120,"9,023282","6,316563"
2815,NG2013_121,"9,097077","6,022804"
2820,NG2013_126,"9,119642","5,945372"
2822,NG2013_128,"9,378790","6,995329"
2834,NG2013_139,"9,182610","7,190781"
2835,NG2013_14,"6,955776","8,307408"
2836,NG2013_140,"9,248913","7,277954"
2857,NG2013_16,"6,848290","8,434496"
2974,NG2013_27,"9,055510","7,378751"
2985,NG2013_28,"9,024736","7,422396"
2990,NG2013_284,"12,974170","11,407463"
2996,NG2013_29,"9,074850","7,394607"
3006,NG2013_30,"9,096179","7,414277"
3009,NG2013_303,"13,131656","10,499435"
3010,NG2013_304,"13,018633","11,132450"
3016,NG2013_31,"9,082032","7,418711"
3027,NG2013_32,"9,060277","7,399262"
3038,NG2013_33,"9,061271","7,443314"
3049,NG2013_34,"9,071747","7,477030"
3060,NG2013_35,"9,082368","7,501654"
3082,NG2013_37,"9,044939","7,494066"
3092,NG2013_38,"9,075202","7,327502"
3103,NG2013_39,"8,974457","7,374716"
3115,NG2013_40,"9,159592","7,348256"
3126,NG2013_41,"9,162514","6,995731"
3135,NG2013_418,"12,273167","4,418655"
3136,NG2013_419,"12,564424","4,297320"
3137,NG2013_42,"9,067543","7,154071"
3140,NG2013_423,"12,466384","4,192451"
3145,NG2013_428,"12,308504","4,336993"
3147,NG2013_43,"8,946452","7,064911"
3158,NG2013_44,"8,933239","7,091917"
3160,NG2013_441,"13,250345","4,940612"
3162,NG2013_443,"12,953346","5,423015"
3169,NG2013_45,"8,959734","7,077051"
3171,NG2013_451,"13,057990","4,835018"
3172,NG2013_452,"13,076206","5,234048"
3173,NG2013_453,"13,068096","5,254032"
3174,NG2013_454,"13,057630","5,238103"
3175,NG2013_455,"13,062413","5,264988"
3178,NG2013_458,"13,606660","5,098848"
3179,NG2013_459,"13,271874","4,954301"
3180,NG2013_46,"8,607537","7,178458"
3181,NG2013_460,"13,065209","5,172954"
3182,NG2013_461,"13,194602","5,449222"
3183,NG2013_462,"13,222969","5,512830"
3205,NG2013_482,"12,569394","6,066145"
3211,NG2013_488,"5,085017","7,370816"
3212,NG2013_489,"5,100968","7,347212"
3214,NG2013_490,"5,082277","7,369537"
3215,NG2013_491,"5,124671","7,358141"
3216,NG2013_492,"5,502465","7,890522"
3217,NG2013_493,"5,437981","7,884078"
3219,NG2013_495,"5,525665","7,618499"
3222,NG2013_498,"5,413404","7,423153"
3223,NG2013_499,"5,385009","7,329690"
3226,NG2013_500,"5,272074","7,302021"
3227,NG2013_501,"5,317823","7,459297"
3229,NG2013_503,"5,162668","7,393923"
3230,NG2013_504,"5,737478","7,768628"
3231,NG2013_505,"5,646947","7,836451"
3232,NG2013_506,"5,563079","7,847086"
3233,NG2013_507,"4,892007","7,356866"
3234,NG2013_508,"5,533006","7,491078"
3235,NG2013_509,"5,467570","7,515657"
3237,NG2013_510,"5,451430","7,492928"
3238,NG2013_511,"5,953987","7,083569"
3239,NG2013_512,"6,011438","7,086194"
3240,NG2013_513,"6,334580","6,841394"
3241,NG2013_515,"6,092781","7,047625"
3242,NG2013_516,"6,183648","7,056912"
3243,NG2013_517,"6,604132","6,997036"
3244,NG2013_518,"6,195095","6,943833"
3245,NG2013_519,"6,028659","6,831817"
3247,NG2013_520,"6,119628","6,922108"
3248,NG2013_521,"6,140305","6,943878"
3249,NG2013_522,"6,141980","6,841930"
3250,NG2013_523,"6,125348","6,793297"
3251,NG2013_524,"6,028328","6,962906"
3252,NG2013_525,"5,863640","6,840765"
3253,NG2013_526,"5,796734","6,868079"
3254,NG2013_527,"6,027987","6,944240"
3255,NG2013_528,"5,992658","6,740741"
3256,NG2013_529,"6,113286","6,785989"
3257,NG2013_53,"7,909535","7,070504"
3258,NG2013_530,"6,149953","6,797823"
3259,NG2013_531,"6,086284","7,071176"
3260,NG2013_532,"6,028783","7,093512"
3261,NG2013_533,"5,963952","7,233974"
